country_name,region,incomegroup,year,life_expectancy_world_bank,prevelance_of_undernourishment,co2,health_expenditure_per,education_expenditure_per,unemployment,sanitation,injuries,communicable,noncommunicable,year_dt
Angola,Sub-Saharan_Africa,Lower_middle_income,2001,47.06,67.5,15960.0,4.48,2.92,4.0,21.3,1392080.71,11190210.53,2663516.34,2001
Albania,Europe_&_Central_Asia,Upper_middle_income,2001,74.29,4.9,3230.0,7.14,3.46,18.58,40.52,117081.67,140894.78,532324.75,2001
United_Arab_Emirates,Middle_East_&_North_Africa,High_income,2001,74.54,2.8,97200.0,2.48,3.87,2.49,86.51,144678.14,65271.91,481740.7,2001
Argentina,Latin_America_&_Caribbean,Upper_middle_income,2001,73.76,3.0,125260.0,8.37,4.83,17.32,48.05,1397676.07,1507068.98,8070909.52,2001
Armenia,Europe_&_Central_Asia,Upper_middle_income,2001,71.8,26.1,3600.0,4.65,2.47,10.91,46.35,103371.75,122238.13,767916.19,2001
Antigua_and_Barbuda,Latin_America_&_Caribbean,High_income,2001,74.17,4.4,350.0,5.44,2.58,7.41,62.86,2201.12,3279.72,14289.69,2001
Australia,East_Asia_&_Pacific,High_income,2001,79.63,2.5,345640.0,7.7,5.1,6.74,58.79,612233.81,208282.73,4158052.86,2001
Austria,Europe_&_Central_Asia,High_income,2001,78.58,2.5,67910.0,9.27,5.58,4.01,99.68,240208.86,77701.17,2101883.59,2001
Azerbaijan,Europe_&_Central_Asia,Upper_middle_income,2001,67.05,17.0,26400.0,2.76,3.5,10.91,19.6,235307.74,904186.52,1816141.16,2001
Burundi,Sub-Saharan_Africa,Low_income,2001,49.93,28.5,200.0,6.4,2.9,1.59,9.4,1285727.05,5085323.13,1088354.56,2001
Belgium,Europe_&_Central_Asia,High_income,2001,77.97,2.5,118340.0,8.15,6.44,6.18,73.84,393056.61,160341.77,2708304.31,2001
Benin,Sub-Saharan_Africa,Lower_middle_income,2001,55.67,17.2,1740.0,3.25,2.37,0.77,21.3,285885.2,4179251.5,1180016.78,2001
Burkina_Faso,Sub-Saharan_Africa,Low_income,2001,50.89,22.6,970.0,2.89,4.02,2.65,9.4,536392.74,10193782.66,2395728.15,2001
Bangladesh,South_Asia,Lower_middle_income,2001,65.96,15.9,25780.0,2.06,2.17,3.62,18.74,5106399.34,29348014.24,20529108.23,2001
Bulgaria,Europe_&_Central_Asia,Upper_middle_income,2001,71.77,4.0,46190.0,6.86,3.38,19.92,50.84,379598.55,184936.84,3126551.07,2001
Bahrain,Middle_East_&_North_Africa,High_income,2001,74.64,2.7,16390.0,3.68,2.65,1.11,69.38,19519.46,15096.19,105084.33,2001
Belarus,Europe_&_Central_Asia,Upper_middle_income,2001,68.51,2.5,51880.0,5.71,4.98,11.55,84.22,843472.15,221301.07,3630110.19,2001
Belize,Latin_America_&_Caribbean,Upper_middle_income,2001,69.04,5.8,530.0,4.63,5.8,9.07,38.16,14723.49,19427.42,38687.31,2001
Bolivia,Latin_America_&_Caribbean,Lower_middle_income,2001,63.05,27.9,8050.0,4.83,8.26,2.48,28.91,427941.6,1592197.06,1578651.87,2001
Brazil,Latin_America_&_Caribbean,Upper_middle_income,2001,70.46,10.7,319380.0,8.55,3.84,9.61,36.17,9266898.86,13885996.63,36221436.41,2001
Barbados,Latin_America_&_Caribbean,High_income,2001,77.36,6.4,1310.0,5.53,6.06,9.85,62.86,6656.3,11832.75,60831.22,2001
Bhutan,South_Asia,Lower_middle_income,2001,61.81,14.4,230.0,5.0,5.92,1.9,62.37,23055.33,150694.53,107017.42,2001
Central_African_Republic,Sub-Saharan_Africa,Low_income,2001,44.06,39.2,250.0,3.96,1.6,5.69,19.63,299925.65,3652351.14,745735.01,2001
Canada,North_America,High_income,2001,79.34,2.5,506620.0,8.62,4.95,7.22,77.58,818908.6,374249.31,6667095.01,2001
Switzerland,Europe_&_Central_Asia,High_income,2001,80.18,2.5,45150.0,9.44,4.81,2.49,99.61,248188.08,83610.68,1735154.25,2001
Chile,Latin_America_&_Caribbean,High_income,2001,76.63,3.4,48430.0,7.15,4.12,10.39,51.19,528317.32,339395.38,2826830.34,2001
China,East_Asia_&_Pacific,Upper_middle_income,2001,71.73,10.0,3529080.0,4.25,3.67,3.8,13.49,47557278.81,50025776.4,275473735.9,2001
Cote_d'Ivoire,Sub-Saharan_Africa,Lower_middle_income,2001,49.5,20.4,6490.0,6.02,2.44,4.8,21.3,657533.5,12911513.67,2791907.35,2001
Cameroon,Sub-Saharan_Africa,Lower_middle_income,2001,51.22,22.9,5160.0,4.1,2.3,7.46,21.3,589962.64,9928803.53,2484149.63,2001
Colombia,Latin_America_&_Caribbean,Upper_middle_income,2001,73.24,8.7,58940.0,5.94,3.71,15.04,15.33,3298510.11,2290325.34,6106138.78,2001
Comoros,Sub-Saharan_Africa,Lower_middle_income,2001,59.53,12.4,110.0,6.65,2.74,4.69,21.3,18971.88,221052.78,91790.02,2001
Costa_Rica,Latin_America_&_Caribbean,Upper_middle_income,2001,77.6,4.7,5420.0,6.47,4.83,5.92,38.63,111737.67,105977.38,589944.74,2001
Cuba,Latin_America_&_Caribbean,Upper_middle_income,2001,76.9,2.5,27470.0,6.98,8.36,4.08,40.22,369329.5,273181.1,2375229.65,2001
Cyprus,Europe_&_Central_Asia,High_income,2001,78.14,5.1,6990.0,5.34,5.12,3.98,76.17,27840.44,11278.33,197749.38,2001
Germany,Europe_&_Central_Asia,High_income,2001,78.33,2.5,847680.0,9.92,4.87,7.77,95.81,2057820.12,879257.0,23164672.77,2001
Djibouti,Middle_East_&_North_Africa,Lower_middle_income,2001,57.1,42.0,380.0,2.81,7.81,28.22,24.86,24412.57,304678.27,97074.22,2001
Denmark,Europe_&_Central_Asia,High_income,2001,76.79,2.5,54250.0,8.45,8.22,4.16,86.8,147748.82,69511.12,1523352.52,2001
Dominican_Republic,Latin_America_&_Caribbean,Upper_middle_income,2001,69.69,20.4,18980.0,4.88,1.97,7.26,38.16,331151.89,1080987.39,1343896.38,2001
Algeria,Middle_East_&_North_Africa,Lower_middle_income,2001,71.12,8.0,78650.0,3.84,5.95,27.3,21.35,1608318.07,2111100.61,5443142.91,2001
Ecuador,Latin_America_&_Caribbean,Upper_middle_income,2001,73.08,21.0,24250.0,3.75,4.62,4.25,39.98,577980.25,1127477.59,1869608.34,2001
Eritrea,Sub-Saharan_Africa,Low_income,2001,55.86,28.5,700.0,5.92,4.05,5.77,9.4,233580.91,2012790.29,641729.0,2001
Spain,Europe_&_Central_Asia,High_income,2001,79.37,2.5,294790.0,6.77,4.11,10.35,93.83,1105890.85,554637.5,10087758.4,2001
Estonia,Europe_&_Central_Asia,High_income,2001,70.26,3.6,15380.0,4.78,5.23,13.13,92.57,105615.51,30166.86,476440.3,2001
Ethiopia,Sub-Saharan_Africa,Low_income,2001,52.6,47.0,4400.0,4.72,3.7,3.3,2.38,3185985.43,46614051.59,10875042.5,2001
Finland,Europe_&_Central_Asia,High_income,2001,77.97,2.5,61090.0,7.25,5.84,10.29,80.25,222105.62,66976.25,1324448.51,2001
Fiji,East_Asia_&_Pacific,Upper_middle_income,2001,65.86,4.0,1040.0,2.91,5.64,3.91,34.89,27085.27,60694.54,197751.12,2001
France,Europe_&_Central_Asia,High_income,2001,79.16,2.5,376730.0,9.71,5.43,8.61,79.24,2204469.1,837070.94,14213905.67,2001
United_Kingdom,Europe_&_Central_Asia,High_income,2001,77.99,2.5,545260.0,7.57,4.11,4.7,97.75,1259910.06,1112338.81,16399003.09,2001
Georgia,Europe_&_Central_Asia,Upper_middle_income,2001,70.06,7.7,3520.0,7.17,2.14,11.16,47.29,146593.82,206455.21,1423122.16,2001
Ghana,Sub-Saharan_Africa,Lower_middle_income,2001,57.16,14.9,6210.0,3.17,5.35,9.5,4.43,598632.38,8404053.28,3184154.2,2001
Guinea,Sub-Saharan_Africa,Low_income,2001,51.26,28.5,1570.0,4.89,2.08,4.55,9.4,401723.0,5920467.81,1616142.3,2001
Guinea-Bissau,Sub-Saharan_Africa,Low_income,2001,50.74,28.5,150.0,6.71,2.17,6.3,3.63,79755.03,878629.42,253405.84,2001
Greece,Europe_&_Central_Asia,High_income,2001,78.39,2.5,96610.0,7.99,3.36,10.46,77.87,284568.09,125698.03,2884915.79,2001
Grenada,Latin_America_&_Caribbean,Upper_middle_income,2001,72.81,7.3,230.0,5.62,3.74,6.94,38.16,3069.93,4995.1,21038.35,2001
Guatemala,Latin_America_&_Caribbean,Upper_middle_income,2001,68.3,22.2,9810.0,6.07,3.01,2.78,38.16,658385.59,2018747.83,1765489.94,2001
Guyana,Latin_America_&_Caribbean,Upper_middle_income,2001,65.53,6.5,1640.0,3.06,8.4,11.81,38.16,48943.83,105443.35,169977.36,2001
Honduras,Latin_America_&_Caribbean,Lower_middle_income,2001,70.98,21.9,5800.0,5.93,6.06,4.0,40.75,350162.39,617053.8,1031647.06,2001
Croatia,Europe_&_Central_Asia,High_income,2001,74.51,6.8,19200.0,7.23,3.94,15.82,77.93,191136.56,72998.69,1337533.5,2001
Haiti,Latin_America_&_Caribbean,Lower_middle_income,2001,57.38,50.7,1600.0,3.73,1.63,9.63,43.99,572400.72,2986337.32,1997697.96,2001
Hungary,Europe_&_Central_Asia,High_income,2001,72.25,2.5,56280.0,6.83,4.93,5.67,63.58,486731.33,152435.99,3521823.54,2001
Indonesia,East_Asia_&_Pacific,Lower_middle_income,2001,66.04,19.2,302060.0,2.12,2.46,6.08,47.86,6996569.3,30881627.35,41520804.67,2001
India,South_Asia,Lower_middle_income,2001,62.91,18.4,953540.0,4.26,3.82,5.58,7.85,54362219.04,268564609.8,192785014.4,2001
Ireland,Europe_&_Central_Asia,High_income,2001,77.13,2.5,44820.0,6.4,4.09,3.68,55.44,105279.3,61994.06,897172.4,2001
Iceland,Europe_&_Central_Asia,High_income,2001,80.69,2.5,2160.0,8.79,6.71,1.87,43.88,6372.43,3218.11,55518.22,2001
Israel,Middle_East_&_North_Africa,High_income,2001,79.41,2.5,57950.0,7.21,6.37,11.81,80.57,176917.39,93001.57,1193383.71,2001
Italy,Europe_&_Central_Asia,High_income,2001,80.13,2.5,436570.0,7.74,4.65,9.6,95.64,1447044.78,614698.09,15411336.84,2001
Jamaica,Latin_America_&_Caribbean,Upper_middle_income,2001,74.14,7.4,10080.0,5.16,5.38,14.93,38.16,62811.49,153496.0,479581.12,2001
Jordan,Middle_East_&_North_Africa,Upper_middle_income,2001,71.91,9.7,16250.0,9.59,3.5,14.7,75.52,138591.49,260138.98,723809.92,2001
Japan,East_Asia_&_Pacific,High_income,2001,81.42,2.5,1170380.0,7.24,3.4,5.02,73.48,3740899.3,1971391.2,27958110.06,2001
Kazakhstan,Europe_&_Central_Asia,Upper_middle_income,2001,65.76,6.5,117440.0,3.47,2.86,10.43,40.62,1132464.17,999214.58,4461248.41,2001
Kenya,Sub-Saharan_Africa,Lower_middle_income,2001,51.1,32.2,7610.0,4.8,5.21,2.99,21.3,796122.25,16737067.36,3793539.32,2001
Cambodia,East_Asia_&_Pacific,Lower_middle_income,2001,59.34,23.6,2150.0,7.01,1.72,1.03,47.86,575530.43,3831903.27,2432916.2,2001
Kiribati,East_Asia_&_Pacific,Lower_middle_income,2001,63.45,4.4,30.0,12.33,11.99,2.1900000000000004,16.81,3943.14,19722.66,27856.04,2001
Kuwait,Middle_East_&_North_Africa,High_income,2001,73.21,2.6,53190.0,3.19,6.59,0.8,100.0,47194.38,37550.07,260456.02,2001
Lebanon,Middle_East_&_North_Africa,Lower_middle_income,2001,75.0,7.8,16890.0,10.57,2.84,8.19,9.43,96063.15,156407.56,757768.34,2001
Liberia,Sub-Saharan_Africa,Low_income,2001,52.24,36.6,450.0,3.5,2.17,2.13,9.4,127482.95,2142154.71,468017.27,2001
Sri_Lanka,South_Asia,Lower_middle_income,2001,72.23,16.7,10850.0,4.19,1.98,7.9,32.1,1058850.45,875560.42,3538579.57,2001
Lesotho,Sub-Saharan_Africa,Lower_middle_income,2001,46.2,20.0,400.0,7.28,9.37,34.63,9.25,129978.0,1373764.09,360118.16,2001
Lithuania,Europe_&_Central_Asia,High_income,2001,71.66,2.5,11150.0,6.01,5.85,16.84,79.99,281788.15,65951.41,1045815.65,2001
Luxembourg,Europe_&_Central_Asia,High_income,2001,77.82,2.5,9120.0,6.41,3.54,1.81,90.93,12963.49,5467.01,107770.41,2001
Latvia,Europe_&_Central_Asia,High_income,2001,70.76,4.6,7360.0,5.78,5.45,13.82,52.41,193981.23,54542.91,828550.73,2001
Morocco,Middle_East_&_North_Africa,Lower_middle_income,2001,69.19,6.3,36270.0,4.13,5.3,12.46,32.49,1368871.31,3697986.83,5558595.24,2001
Moldova,Europe_&_Central_Asia,Upper_middle_income,2001,67.18,3.4,7020.0,6.23,4.85,7.29,40.62,232794.87,159857.91,1255903.82,2001
Madagascar,Sub-Saharan_Africa,Low_income,2001,59.13,33.8,1670.0,4.76,2.71,5.35,3.83,470651.04,7463686.06,2701577.95,2001
Mexico,Latin_America_&_Caribbean,Upper_middle_income,2001,74.66,3.3,378830.0,4.82,4.24,2.63,17.97,3591742.93,5739024.98,16682733.14,2001
North_Macedonia,Europe_&_Central_Asia,Upper_middle_income,2001,73.44,7.5,8920.0,8.38,3.3,30.52,12.9,75058.95,47316.94,575029.88,2001
Mali,Sub-Saharan_Africa,Low_income,2001,48.76,16.2,1610.0,4.52,2.66,6.3,6.76,636033.28,10054240.09,2017488.66,2001
Malta,Middle_East_&_North_Africa,High_income,2001,78.84,2.5,2490.0,7.0,5.5,7.11,91.87,8172.44,5656.81,91973.09,2001
Myanmar,East_Asia_&_Pacific,Lower_middle_income,2001,60.38,37.6,8350.0,2.15,2.0,0.67,58.92,2642483.37,13438452.76,11950793.29,2001
Mongolia,East_Asia_&_Pacific,Lower_middle_income,2001,63.32,31.1,8970.0,4.32,4.83,6.21,33.72,151574.31,311492.22,596024.26,2001
Mozambique,Sub-Saharan_Africa,Low_income,2001,49.3,36.5,1410.0,2.95,5.87,2.84,9.4,727102.3,14740275.43,2789224.28,2001
Mauritania,Sub-Saharan_Africa,Lower_middle_income,2001,60.79,8.3,1400.0,3.57,2.11,9.83,21.3,104174.18,952086.34,394271.32,2001
Malawi,Sub-Saharan_Africa,Low_income,2001,45.2,23.6,680.0,2.39,4.51,5.84,19.44,405908.25,10740293.29,1955136.44,2001
Malaysia,East_Asia_&_Pacific,Upper_middle_income,2001,72.78,2.5,129460.0,2.68,7.48,3.53,65.86,675010.81,1040202.68,3668019.93,2001
Niger,Sub-Saharan_Africa,Low_income,2001,50.58,28.5,670.0,4.76,2.28,1.47,6.55,578147.11,12699015.7,2029328.97,2001
